Town,median_rent,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
ANG MO KIO,2033.3333333333333,1.3699718,103.8495876,1,Food Courts,Fast Food Restaurants,Dessert Shops,Japanese Restaurants,Sushi Restaurants,Cafés,Ramen Restaurants,Hong Kong Restaurants,Halal Restaurants,Miscellaneous Shops
BEDOK,2087.5,1.3240113,103.9301725,3,Coffee Shops,Food Courts,Sushi Restaurants,Japanese Restaurants,Fast Food Restaurants,Wings Joints,Fried Chicken Joints,Indian Restaurants,Ice Cream Shops,Hotpot Restaurants
BISHAN,2233.3333333333335,1.3510417,103.8499304,3,Coffee Shops,Japanese Restaurants,Chinese Restaurants,Fast Food Restaurants,Food Courts,Cafés,Bubble Tea Shops,American Restaurants,Portuguese Restaurants,Dumpling Restaurants
BUKIT BATOK,1962.5,1.3485061,103.7492218,1,Food Courts,Coffee Shops,Fast Food Restaurants,Chinese Restaurants,Asian Restaurants,Thai Restaurants,Pizza Places,Ice Cream Shops,Japanese Restaurants,Sandwich Places
BUKIT MERAH,2162.5,1.2896415,103.8167982,2,Chinese Restaurants,Coffee Shops,Food Courts,Bistros,Cafés,Dongbei Restaurants,Comfort Food Restaurants,Dessert Shops,Dim Sum Restaurants,Diners
BUKIT PANJANG,1737.5,1.2760684,103.7919037,4,Chinese Restaurants,Thai Restaurants,Food Courts,Indian Restaurants,Cafés,Asian Restaurants,Noodle Houses,Seafood Restaurants,Vietnamese Restaurants,Burger Joints
CENTRAL,2450.0,1.2881554,103.8467181,3,Cafés,Chinese Restaurants,Food Courts,Coffee Shops,Ramen Restaurants,Japanese Restaurants,Fast Food Restaurants,Noodle Houses,Diners,Hotpot Restaurants
CHOA CHU KANG,1933.3333333333333,1.3853846,103.7443373,1,Fast Food Restaurants,Food Courts,Noodle Houses,Coffee Shops,Asian Restaurants,Thai Restaurants,Bakeries,Italian Restaurants,Dessert Shops,Cafés
CLEMENTI,2263.3333333333335,1.3150696,103.7652462,1,Food Courts,Fast Food Restaurants,Coffee Shops,Fried Chicken Joints,Asian Restaurants,Thai Restaurants,Dim Sum Restaurants,Japanese Restaurants,Chinese Restaurants,Cafés
GEYLANG,2166.6666666666665,1.3163668,103.8827723,4,Chinese Restaurants,Dim Sum Restaurants,Food Courts,Noodle Houses,Coffee Shops,Seafood Restaurants,Vegetarian / Vegan Restaurants,Steakhouses,Fast Food Restaurants,BBQ Joints
