,Town,Town Latitude,Town Longitude,VenueID,VenueName,score,category,catID,latitude,longitude
0,ANG MO KIO,1.3699718,103.8495876,538ef3d5498e088ff4b1e8ba,Koi Café Express,0.0,Bubble Tea Shops,52e81612bcbc57f1066b7a0c,1.369341849481807,103.84982027536027
1,ANG MO KIO,1.3699718,103.8495876,4d397d4a1fc36dcbe8815bf5,BBQ Express,0.0,BBQ Joints,4bf58dd8d48988d1df931735,1.3692390807404968,103.84921525321892
2,ANG MO KIO,1.3699718,103.8495876,50138eaee4b05d9dc80ae5b0,Hong Kong Sheng Kee Dessert ??????,5.8,Dessert Shops,4bf58dd8d48988d1d0941735,1.3694734476071224,103.84924062572216
3,ANG MO KIO,1.3699718,103.8495876,4ba1b90df964a52094c937e3,Shihlin Taiwan Street Snacks,0.0,Snack Places,4bf58dd8d48988d1c7941735,1.369308977356265,103.84926069793785
4,ANG MO KIO,1.3699718,103.8495876,5be2d3831af8520039a38da2,Malaysia Boleh!,7.5,Food Courts,4bf58dd8d48988d120951735,1.369669,103.8489
5,ANG MO KIO,1.3699718,103.8495876,4b7cdf36f964a520fda72fe3,BreadTalk / Toast Box,5.5,Breakfast Spots,4bf58dd8d48988d143941735,1.3691773337522302,103.84887426904734
6,ANG MO KIO,1.3699718,103.8495876,4faa5b1ce4b01bd55220ac77,Four Leaves,0.0,Bakeries,4bf58dd8d48988d16a941735,1.3694504049875718,103.84927772643145
7,ANG MO KIO,1.3699718,103.8495876,4b1e9fc6f964a520d21c24e3,Ichiban Sushi,5.6,Sushi Restaurants,4bf58dd8d48988d1d2941735,1.3691563048453992,103.84910942432356
8,ANG MO KIO,1.3699718,103.8495876,5b56f605364d97002c7cada9,Playmade,0.0,Bubble Tea Shops,52e81612bcbc57f1066b7a0c,1.3691539,103.84959
9,ANG MO KIO,1.3699718,103.8495876,518789cc498ecc6fa98a0e73,Choco Express,0.0,Dessert Shops,4bf58dd8d48988d1d0941735,1.3691950391079604,103.84873186400179
10,ANG MO KIO,1.3699718,103.8495876,5340222411d247b11bb27bb8,Eighteen Chefs,5.5,Diners,4bf58dd8d48988d147941735,1.3692652800219691,103.84870620248286
11,ANG MO KIO,1.3699718,103.8495876,4d490174f53c8cfa19c41247,Umi Sushi,7.2,Sushi Restaurants,4bf58dd8d48988d1d2941735,1.3694055476931517,103.84930516535186
12,ANG MO KIO,1.3699718,103.8495876,4bc30123abf495215220c393,Old Chang Kee,7.3,Snack Places,4bf58dd8d48988d1c7941735,1.369093882325005,103.84838865753792
13,ANG MO KIO,1.3699718,103.8495876,4b1ea04ff964a520e21c24e3,MOS Burger,7.5,Burger Joints,4bf58dd8d48988d16c941735,1.369170234303566,103.84783132985862
14,ANG MO KIO,1.3699718,103.8495876,55670065498eec45a522e424,Tori Q Japanese Yakitori,0.0,Japanese Restaurants,4bf58dd8d48988d111941735,1.3693136067098717,103.84896802889642
15,ANG MO KIO,1.3699718,103.8495876,5c0b503a41b6c90025473c0a,Eng's Wantan Noodle,0.0,Food Courts,4bf58dd8d48988d120951735,1.3691374,103.84869
16,ANG MO KIO,1.3699718,103.8495876,53300a03498ec51f067f0f70,Bun Master,7.2,Bakeries,4bf58dd8d48988d16a941735,1.3692421789361022,103.84903106162581
17,ANG MO KIO,1.3699718,103.8495876,57e75435498eebbe21c6eecd,Heavenly Wang,0.0,Food Courts,4bf58dd8d48988d120951735,1.3693707,103.84824
18,ANG MO KIO,1.3699718,103.8495876,4b1ea018f964a520dc1c24e3,NTUC Foodfare,5.3,Food Courts,4bf58dd8d48988d120951735,1.3691544729284009,103.84811223101906
19,ANG MO KIO,1.3699718,103.8495876,5b6bef7cb9a5a8002c117506,Starbucks,6.9,Cafés,4bf58dd8d48988d16d941735,1.3692298000769514,103.84868271780435
20,ANG MO KIO,1.3699718,103.8495876,4c0a3c90340720a1970b8693,Express Teppan-Yaki,7.2,Japanese Restaurants,4bf58dd8d48988d111941735,1.3691372852995798,103.84823193982064
21,ANG MO KIO,1.3699718,103.8495876,4bceddaeb6c49c7410bb9791,Subway,7.1,Sandwich Places,4bf58dd8d48988d1c5941735,1.3691362071202464,103.8476121994989
22,ANG MO KIO,1.3699718,103.8495876,514d8af3e4b06c69eb475e1f,Fruit Paradise,5.9,Cafés,4bf58dd8d48988d16d941735,1.3690776769842619,103.84819834211142
23,ANG MO KIO,1.3699718,103.8495876,5687adf3498e2cded5e88837,Takagi Ramen,6.1,Ramen Restaurants,55a59bace4b013909087cb24,1.3692634,103.847046
24,ANG MO KIO,1.3699718,103.8495876,5213643e11d236c03cd2810f,Swensen's,7.0,Dessert Shops,4bf58dd8d48988d1d0941735,1.3691117290772925,103.84771817813134
25,ANG MO KIO,1.3699718,103.8495876,4b666f95f964a52058212be3,Popeyes Louisiana Kitchen,5.8,Fried Chicken Joints,4d4ae6fc7a7b7dea34424761,1.3716548465514031,103.8480084265762
26,ANG MO KIO,1.3699718,103.8495876,4b06a9c8f964a52059ee22e3,Pepper Lunch,7.0,Japanese Restaurants,4bf58dd8d48988d111941735,1.3691073953750246,103.84779052779331
27,ANG MO KIO,1.3699718,103.8495876,4ffeb75fe4b0de9322325259,Ajisen Ramen,5.6,Noodle Houses,4bf58dd8d48988d1d1941735,1.3690589113345937,103.84817279408036
28,ANG MO KIO,1.3699718,103.8495876,53c68f51498efd710da56841,e?????? Mala Hot Pot,0.0,Asian Restaurants,4bf58dd8d48988d142941735,1.3714982901834445,103.84780316423277
29,ANG MO KIO,1.3699718,103.8495876,4effc02af790570bd21da0c9,Burger King,6.1,Fast Food Restaurants,4bf58dd8d48988d16e941735,1.368926427448763,103.84800422378656
30,ANG MO KIO,1.3699718,103.8495876,4c657dabe2ee9c749ce32d2f,Ang Mo Kio Central Market & Food Centre,6.6,Food Courts,4bf58dd8d48988d120951735,1.372115348467814,103.84640145151111
