,Town,median_rent,Latitude,Longitude
0,ANG MO KIO,2033.3333333333333,1.3699718,103.8495876
1,BEDOK,2087.5,1.3240113,103.9301725
2,BISHAN,2233.3333333333335,1.3510417,103.8499304
3,BUKIT BATOK,1962.5,1.3485061,103.7492218
4,BUKIT MERAH,2162.5,1.2896415,103.8167982
5,BUKIT PANJANG,1737.5,1.2760684,103.7919037
6,CENTRAL,2450.0,1.2881554,103.8467181
7,CHOA CHU KANG,1933.3333333333333,1.3853846,103.7443373
8,CLEMENTI,2263.3333333333335,1.3150696,103.7652462
9,GEYLANG,2166.6666666666665,1.3163668,103.8827723
10,HOUGANG,1962.5,1.3713312,103.8925439
11,JURONG EAST,2150.0,1.3331427,103.7423293
12,JURONG WEST,1975.0,1.3385559,103.7058277
13,KALLANG/WHAMPOA,2300.0,1.3114784,103.8713507
14,MARINE PARADE,1950.0,1.30841,103.888814
15,PASIR RIS,2066.6666666666665,1.3731912,103.9493534
16,PUNGGOL,1825.0,1.40517,103.9023559
17,QUEENSTOWN,2162.5,1.2948352,103.8059016
18,SEMBAWANG,1883.3333333333333,1.4490801,103.8200578
19,SENGKANG,1900.0,1.3916609,103.8954533
20,SERANGOON,2187.5,1.3497872,103.8736348
21,TAMPINES,2075.0,1.3544303,103.94276
22,TOA PAYOH,2210.0,1.3323297,103.8474252
23,WOODLANDS,1762.5,1.4369451,103.7865159
24,YISHUN,1900.0,1.4295484,103.8350332
